port,service,description,tcp,udp,other
0,,Reserved,Reserved,,
0,,Reserved,,Reserved,
1,tcpmux,TCP Port Service Multiplexer,True,,
1,tcpmux,TCP Port Service Multiplexer,,True,
2,compressnet,Management Utility,True,,
2,compressnet,Management Utility,,True,
3,compressnet,Compression Process,True,,
3,compressnet,Compression Process,,True,
5,rje,Remote Job Entry,True,,
5,rje,Remote Job Entry,,True,
7,echo,Echo,True,,
7,echo,Echo,,True,
9,discard,Discard,True,,
9,discard,Discard,,True,
9,discard,Discard,,,sctp
9,discard,Discard,,,dccp
11,systat,Active Users,True,,
11,systat,Active Users,,True,
13,daytime,Daytime,True,,
13,daytime,Daytime,,True,
17,qotd,Quote of the Day,True,,
17,qotd,Quote of the Day,,True,
18,msp,Message Send Protocol (historic),True,,
18,msp,Message Send Protocol (historic),,True,
19,chargen,Character Generator,True,,
19,chargen,Character Generator,,True,
20,ftp-data,File Transfer [Default Data],True,,
20,ftp-data,File Transfer [Default Data],,True,
20,ftp-data,FTP,,,sctp
21,ftp,File Transfer Protocol [Control],True,,
21,ftp,File Transfer Protocol [Control],,True,
21,ftp,FTP,,,sctp
22,ssh,The Secure Shell (SSH) Protocol,True,,
22,ssh,The Secure Shell (SSH) Protocol,,True,
22,ssh,SSH,,,sctp
23,telnet,Telnet,True,,
23,telnet,Telnet,,True,
24,,any private mail system,True,,
24,,any private mail system,,True,
25,smtp,Simple Mail Transfer,True,,
25,smtp,Simple Mail Transfer,,True,
27,nsw-fe,NSW User System FE,True,,
27,nsw-fe,NSW User System FE,,True,
29,msg-icp,MSG ICP,True,,
29,msg-icp,MSG ICP,,True,
31,msg-auth,MSG Authentication,True,,
31,msg-auth,MSG Authentication,,True,
33,dsp,Display Support Protocol,True,,
33,dsp,Display Support Protocol,,True,
35,,any private printer server,True,,
35,,any private printer server,,True,
37,time,Time,True,,
37,time,Time,,True,
38,rap,Route Access Protocol,True,,
38,rap,Route Access Protocol,,True,
39,rlp,Resource Location Protocol,True,,
39,rlp,Resource Location Protocol,,True,
41,graphics,Graphics,True,,
41,graphics,Graphics,,True,
42,name,Host Name Server,True,,
42,name,Host Name Server,,True,
42,nameserver,Host Name Server,True,,
42,nameserver,Host Name Server,,True,
43,nicname,Who Is,True,,
43,nicname,Who Is,,True,
44,mpm-flags,MPM FLAGS Protocol,True,,
44,mpm-flags,MPM FLAGS Protocol,,True,
45,mpm,Message Processing Module [recv],True,,
45,mpm,Message Processing Module [recv],,True,
46,mpm-snd,MPM [default send],True,,
46,mpm-snd,MPM [default send],,True,
47,,Reserved,Reserved,,
47,,Reserved,,Reserved,
48,auditd,Digital Audit Daemon,True,,
48,auditd,Digital Audit Daemon,,True,
49,tacacs,Login Host Protocol (TACACS),True,,
49,tacacs,Login Host Protocol (TACACS),,True,
50,re-mail-ck,Remote Mail Checking Protocol,True,,
50,re-mail-ck,Remote Mail Checking Protocol,,True,
51,,Reserved,,,
52,xns-time,XNS Time Protocol,True,,
52,xns-time,XNS Time Protocol,,True,
53,domain,Domain Name Server,True,,
53,domain,Domain Name Server,,True,
54,xns-ch,XNS Clearinghouse,True,,
54,xns-ch,XNS Clearinghouse,,True,
55,isi-gl,ISI Graphics Language,True,,
55,isi-gl,ISI Graphics Language,,True,
56,xns-auth,XNS Authentication,True,,
56,xns-auth,XNS Authentication,,True,
57,,any private terminal access,True,,
57,,any private terminal access,,True,
58,xns-mail,XNS Mail,True,,
58,xns-mail,XNS Mail,,True,
59,,any private file service,True,,
59,,any private file service,,True,
61,,Reserved,Reserved,,
61,,Reserved,,Reserved,
62,acas,ACA Services,True,,
62,acas,ACA Services,,True,
63,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++"".",True,,
63,whois++,whois++,True,,
63,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++"".",,True,
63,whois++,whois++,,True,
64,covia,Communications Integrator (CI),True,,
64,covia,Communications Integrator (CI),,True,
65,tacacs-ds,TACACS-Database Service,True,,
65,tacacs-ds,TACACS-Database Service,,True,
66,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",True,,
66,sql*net,Oracle SQL*NET,True,,
66,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",,True,
66,sql*net,Oracle SQL*NET,,True,
67,bootps,Bootstrap Protocol Server,True,,
67,bootps,Bootstrap Protocol Server,,True,
68,bootpc,Bootstrap Protocol Client,True,,
68,bootpc,Bootstrap Protocol Client,,True,
69,tftp,Trivial File Transfer,True,,
69,tftp,Trivial File Transfer,,True,
70,gopher,Gopher,True,,
70,gopher,Gopher,,True,
71,netrjs-1,Remote Job Service,True,,
71,netrjs-1,Remote Job Service,,True,
72,netrjs-2,Remote Job Service,True,,
72,netrjs-2,Remote Job Service,,True,
73,netrjs-3,Remote Job Service,True,,
73,netrjs-3,Remote Job Service,,True,
74,netrjs-4,Remote Job Service,True,,
74,netrjs-4,Remote Job Service,,True,
75,,any private dial out service,True,,
75,,any private dial out service,,True,
76,deos,Distributed External Object Store,True,,
76,deos,Distributed External Object Store,,True,
77,,any private RJE service,True,,
77,,any private RJE service,,True,
78,vettcp,vettcp,True,,
78,vettcp,vettcp,,True,
79,finger,Finger,True,,
79,finger,Finger,,True,
80,http,World Wide Web HTTP,True,,
80,http,World Wide Web HTTP,,True,
80,www,World Wide Web HTTP,True,,
80,www,World Wide Web HTTP,,True,
80,www-http,World Wide Web HTTP,True,,
80,www-http,World Wide Web HTTP,,True,
80,http,HTTP,,,sctp
82,xfer,XFER Utility,True,,
82,xfer,XFER Utility,,True,
83,mit-ml-dev,MIT ML Device,True,,
83,mit-ml-dev,MIT ML Device,,True,
84,ctf,Common Trace Facility,True,,
